name,symbol,logo,decimals,contract_address,is_fluid
USD Coin,USDC,/assets/tokens/usdc.svg,6,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,FALSE
Fluid USDC,fUSDC,/assets/tokens/fUSDC.svg,6,0x9d1089802eE608BA84C5c98211afE5f37F96B36C,TRUE
Tether USD,USDT,/assets/tokens/usdt.svg,6,0xdAC17F958D2ee523a2206206994597C13D831ec7,FALSE
Fluid USDT,fUSDT,/assets/tokens/fUSDT.svg,6,0xADc234a4e90E2045f353F5d4fCdE66144d23b458,TRUE
TrueUSD,TUSD,/assets/tokens/tusd.svg,18,0x0000000000085d4780B73119b644AE5ecd22b376,FALSE
Fluid TUSD,fTUSD,/assets/tokens/fTUSD.svg,18,0x0B319dB00d07C8fAdfaAEf13C910141a5dA0aa8F,TRUE
Frax,FRAX,/assets/tokens/frax.svg,18,0x853d955aCEf822Db058eb8505911ED77F175b99e,FALSE
Fluid FRAX,fFRAX,/assets/tokens/fFRAX.svg,18,0x2bE1e42BF263AaB47D27Ba92E72c14823e101D7C,TRUE
Dai Stablecoin,DAI,/assets/tokens/dai.svg,18,0x6B175474E89094C44Da98b954EedeAC495271d0F,FALSE
Fluid DAI,fDAI,/assets/tokens/fDAI.svg,18,0x244517Dc59943E8CdFbD424Bdb3262c5f04a1387,TRUE